vitamin	food	info
	WTM	400 mcg
	brazil nuts	544 mcg per six kernels, sky-high in selenium
	shrimp	34 mcg per 10-12 shrimp
	crabmeat	41 mcg per 3 ounces
	salmon	40 mcg per 3 ounces
	enriched noodles	38 mcg per cup
	beef	16 mcg per 3 ounces
	pork	35 mcg per 3 ounces
Sodium Chloride		
salt		
	WUN	500 mg of sodium; 750 mg of chloride
	WTM	2,300 mg of sodium (the equivalent of 5.8 g of salt per day)
	white bread	850 mg per 2 slices
	pickles	800 mg per 1 spear
	hot dogs	1300 mg per one wiener 
Thiamin		
b1		
	WUN	Men = 1.2 mg; Women = 1.1 mg
	WTM	Not determined
	milk	0.1mg per cup
	lentils	0.17 mg per 1/2 cup
	cantaloupe	0.11 mg per 1/2 friut
	enriched long grain white rice	0.26 mg per cup
	pecans	0.19 mg per ounce
b6		
pyridoxal		
pyridoxine		
pyridoxamine		
	WUN	1.3 mg
	WTM	100mg
	salmon	0.48 mg per 3 ounces
	chicken	0.51 mg per 3 ounces
	bananas	0.43 mg per medium banana
	baked russet potatoes with the skin	0.70 per medium potato
	hazelnuts	0.18 mg per ounces
	coocked spinach	0.44 mg per cup
b12		
	WUN	2.4 mcg
	WTM	Not determined
	clams	84 mcg per 3 ounces
	mussels	20.4 mcg per 3 ounces
	beef	2.1 mcg per 3 ounces
	salmon	2.4 mcg per 3 ounces
	poached eggs	0.6 mcg per large egg
	skim milk	0.9 mcg per cup
	brie cheese	0.5 mcg per ounces
c		
asorbic acid		
	WUN	Men = 90 mg; Women = 75mg
	WTM	2000 mg
	orange juice	100+ mg per cup
	grape fruits	76 mg per medium fruit
	strawberries	85 mg per cup
	tomatoes	16 mg per medium tomato
	red peppers	95 mg per 1/2 cup
	broccoli	51 mg per 1/2 cup
d		
	WUN	15 mcg
	WTM	50 mcg
	fortified cereals	1.0-1.3 mcg per cup
	fortified milk	2.4 mcg per cup
	canned salmon	13.3 mcg per 3 ounces
	egg yolks	0.53 mcg per large egg
e		
	WUN	15 mg
	WTM	1000mg
	olive oil	1.9 mg per tablespoon
	canola oil	2.4 mg per tablespoon
	almonds	7.4 mg per ounce
	avocados	2.7 mg per avocado
	hazelnuts	4.3 mg per ounce
k		
	WUN	Men = 120 mcg; Women = 90 mcg (AI)
	WTM	Not determined
	broccoli	220 mcg per cup
	kale	547 mcg per cup
	parsley	246 mcg per 1/4 cup
	swiss chard	299 mcg per cup
zinc		
	WUN	Men = 11 mg; Women = 8 mg
	WTM	40 mg Last but not least, don’t forget your daily dose of Vitamin G
	oyesters	76.3 mg per 6 oyesters
	beef	6 mg per 3 ounces
	turkey	3.8 mg per 3 ounces
	milk	1.8 mg per cup
	cashews	1.6 mg per ounces
